epoch,accuracy,loss
0,0.49912578,1.380625863222013
1,0.51648605,1.3249592809886366
2,0.5223745,1.3097503996542519
3,0.5256646,1.3012607733763015
4,0.5279359,1.2956388213602987
5,0.5299029,1.2913017363408406
6,0.5310385,1.2880151010204062
7,0.5320711,1.2853510485017672
8,0.5331793,1.2831368572844886
9,0.5332308,1.2812852888446762
10,0.53408545,1.2796013411913738
11,0.5345471,1.278447641678733
12,0.53520733,1.2771369431945752
13,0.53575903,1.2761470853541232
14,0.53585106,1.2751460523441804
15,0.53634024,1.2741744583471708
16,0.5366006,1.2734548658715654
17,0.537008,1.2726739945115308
18,0.5371866,1.2721153607264624
19,0.5373474,1.271456784308034
20,0.5378256,1.2708751998092913
